#{"t_start": 1642525102.3269677, "env_id": "Ataxx-v0"}
r,l,t
-1.0,6,2.022342
-1.0,5,2.032382
-1.0,1,2.033748
-1.0,2,2.036603
-1.0,2,2.04006
-1.0,7,2.053047
-1.0,4,2.060963
-1.0,5,2.074738
-1.0,1,2.076053
-1.0,1,2.077276
-1.0,1,2.079071
-1.0,2,2.083021
-1.0,3,2.089092
-1.0,2,2.092656
-1.0,2,2.095482
-1.0,2,2.098962
-1.0,2,2.102366
-1.0,1,2.104354
-1.0,6,2.116502
-1.0,3,2.120899
-1.0,4,2.128649
-1.0,4,2.135427
-1.0,6,2.149903
-1.0,9,2.16984
-1.0,3,2.17493
-1.0,5,2.185513
-1.0,6,2.199222
-1.0,1,2.201633
-1.0,1,2.203123
-1.0,2,2.206383
-1.0,2,2.209875
-1,2,2.213485
-1.0,2,2.216115
-1,3,2.221715
-1.0,2,2.224749
-1.0,6,2.23666
-1.0,4,2.244525
-1.0,2,2.247269
-1.0,3,2.252456
-1.0,2,2.25579
-1,2,2.258368
-1.0,1,2.25969
-1.0,6,2.271132
-1.0,2,2.275028
-1,3,2.280146
-1.0,5,2.288916
-1.0,2,2.292693
-1.0,1,2.293925
-1.0,4,2.30083
-1.0,1,2.30195
-1.0,3,2.306432
-1.0,3,2.310996
-1,3,2.31537
-1.0,2,2.318448
-1.0,1,2.319648
-1.0,5,2.329235
-1,1,2.330288
-1.0,5,2.338849
-1.0,1,2.340765
-1.0,2,2.343295
-1.0,1,2.344469
-1.0,3,2.349082
-1.0,1,2.350546
-1.0,4,2.361325
-1,2,2.365101
-1.0,7,2.392516
-1.0,1,2.399095
-1.0,8,2.436946
-1.0,2,2.445855
-1.0,2,2.453112
-1.0,1,2.459867
-1.0,5,2.479855
-1.0,1,2.485086
-1.0,1,2.487083
-1.0,4,2.506037
-1.0,2,2.511777
-1.0,1,2.513135
-1,1,2.515483
-1.0,2,2.523943
-1,3,2.530964
-1.0,5,2.542638
-1.0,2,2.545672
-1.0,1,2.547031
-1.0,1,2.549153
-1,4,2.555972
-1.0,2,2.560171
-1.0,3,2.567225
-1.0,1,2.568514
-1.0,2,2.572888
-1.0,5,2.581906
-1.0,3,2.587915
-1.0,1,2.590021
-1.0,1,2.591714
-1.0,2,2.594367
-1.0,4,2.603374
-1.0,1,2.604887
-1,2,2.608737
-1.0,3,2.61463
-1.0,1,2.615964
-1.0,3,2.621976
-1.0,3,2.627614
-1.0,3,2.633834
-1.0,2,2.636795
-1.0,1,2.639164
-1.0,1,2.640757
-1.0,1,2.642195
-1.0,4,2.651344
-1.0,1,2.652946
-1.0,1,2.654473
-1.0,1,2.657177
-1,5,2.668827
-1.0,1,2.670791
-1.0,1,2.672268
-1.0,2,2.676292
-1.0,1,2.678033
-1.0,2,2.682356
-1.0,1,2.683771
-1.0,2,2.687736
-1.0,3,2.693536
-1.0,3,2.699739
-1.0,1,2.70124
-1.0,1,2.702565
-1.0,1,2.704344
-1,1,2.706722
-1,3,2.713659
-1,2,2.717953
-1.0,1,2.71963
-1.0,2,2.72323
-1.0,7,2.739181
-1.0,4,2.748595
-1.0,1,2.749954
-1.0,5,2.761084
-1,1,2.762246
-1.0,1,2.763333
-1.0,3,2.768557
-1.0,1,2.769778
-1.0,1,2.771959
-1.0,1,2.773447
-1.0,3,2.778627
-1.0,1,2.779912
-1.0,1,2.780998
-1.0,4,2.788721
-1.0,1,2.790452
-1.0,3,2.797033
-1.0,1,2.798811
-1.0,2,2.802517
-1.0,1,2.804231
-1.0,1,2.805372
-1.0,7,2.820714
-1.0,2,2.823642
-1.0,3,2.829001
-1.0,1,2.83022
-1.0,1,2.832294
-1.0,1,2.833838
-1.0,7,2.850319
-1,1,2.852063
-1.0,1,2.853613
-1.0,3,2.859731
-1.0,4,2.866321
